;;;;;;;;;;;;;;;;;;
;;;;;       Ever told had--;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;Attention Deficit;;;;;;;;;;;
Selected;Total;;Learning disability;;;;hyperactivity disorder;;;;;;;;;;;
Characteristic;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;Number \1;;Percent \2;;Number \1;;Percent \2;;;;;;;;;
;;;;;;;;;;;;;;;;;;
  Total \3 ;61 518;;4 624;;7,5;;4 452;;7,2;;;;;;;;;
SEX \4;;;;;;;;;;;;;;;;;;
Male;31 575;;3 034;;9,7;;3 161;;10,0;;;;;;;;;
Female;29 943;;1 590;;5,3;;1 291;;4,3;;;;;;;;;
AGE;;;;;;;;;;;;;;;;;;
3 to 4 years old;8 369;;179;;2,1;\6;170;\6;2,0;;;;;;;;;
5 to 11 years old;27 932;;1 867;;6,7;;1 644;;5,9;;;;;;;;;
12 to 17 years old;25 216;;2 577;;10,2;;2 637;;10,5;;;;;;;;;
RACE ;;;;; ;;;;;;;;;;;;;
Race Alone \4 \5;59 576;;4 464;;7,5;;4 200;;7,0;;;;;;;;;
  White;46 548;;3 519;;7,5;;3 354;;7,2;;;;;;;;;
  Black or African American;9 553;;740;;7,7;;718;;7,4;;;;;;;;;
  American Indian or Alaska Native;948;\6;115;\6;11,3;\6;71;\6;7,7;;;;;;;;;
  Asian;2 402;\6;90;;3,7;\6;57;\6;2,5;;;;;;;;;
  Native Hawaiian or Other Pacific Islander;126;;0;;0;;0;;0;;;;;;;;;
Two or more races \4 \7;1 942;\6;160;;8,6;;251;;13,3;;;;;;;;;
  Black or African American and White;715;;(B);\6;9,0;\6;89;\6;13,2;;;;;;;;;
  American Indian or Alaska Native and White;469;\6;75;\6;15,6;\6;92;\6;18,8;;;;;;;;;
HISPANIC ORIGIN AND RACE \4 \8;;;;;;;;;;;;;;;;;;
Hispanic or Latino;12 323;;817;;6,7;;495;;4,1;;;;;;;;;
  Mexican or Mexican American;8 472;;590;;7,1;;334;;4,0;;;;;;;;;
Not Hispanic or Latino;49 195;;3 807;;7,7;;3 957;;8,0;;;;;;;;;
  White, single race;35 442;;2 823;;7,9;;2 948;;8,2;;;;;;;;;
  Black or African American, single race;9 111;;716;;7,8;;703;;7,6;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
