Characteristics;;;;;;;;;;;;;;;;;;
;1950 \1;1960 \1;1970;1980;1985;1990;1995;1996;1997;1998;1999 ;2000;2001;2002;2003;2004;2005;2006
;;;;;;;;;;;;;;;;;;
ALL PERSONS;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
  All ages, age adjusted \2;180,7;177,9;147,7;96,2;76,4;65,3;63,1;62,5;61,1;59,3;61,6;60,9;57,9;56,2;53,5;50,0;46,6;43,6
  All ages, crude \3;104,0;108,0;101,9;75,0;64,2;57,8;59,2;59,2;58,5;57,3;60,0;59,6;57,4;56,4;54,2;51,1;48,4;45,8
Under 1 year;5,1;4,1;5,0;4,4;3,6;3,8;5,9;6,2;7,0;7,9;2,7;3,3;2,7;2,9;2,5;3,1;3,1;3,4
1 to 4 years;0,9;0,8;1,0;0,5;0,3;0,3;0,4;0,3;0,4;0,4;0,3;0,3;0,4;0,3;0,3;0,3;0,4;0,3
5 to 14 years;0,5;0,7;0,7;0,3;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2
15 to 24 years;1,6;1,8;1,6;1,0;0,8;0,6;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,4;0,5;0,5;0,5;0,5
25 to 34 years;4,2;4,7;4,5;2,6;2,2;2,2;1,7;1,7;1,6;1,6;1,4;1,5;1,5;1,4;1,5;1,4;1,4;1,3
35 to 44 years;18,7;14,7;15,6;8,5;7,2;6,4;6,5;6,2;6,3;5,9;5,7;5,8;5,5;5,4;5,5;5,4;5,2;5,1
45 to 54 years;70,4;49,2;41,6;25,2;21,2;18,7;17,4;17,6;16,7;16,2;15,2;16,0;15,1;15,1;15,0;14,9;15,0;14,7
55 to 64 years;194,2;147,3;115,8;65,1;54,7;47,9;45,6;44,8;43,7;41,9;40,6;41,0;38,0;37,2;35,6;34,3;33,0;33,3
65 to 74 years;554,7;469,2;384,1;219,0;172,4;144,2;136,2;134,2;133,3;128,5;130,8;128,6;123,4;120,3;112,9;107,8;101,1;96,3
