;;;;;;;;;
Item and sex;1990 ;1995 ;2000 ;2001;2002;2003;2004;2005;2006
;;;;;;;;;
Patients discharged (1,000);30 788;30 722;31 706;32 653;33 727;34 738;34 864;34 667;34 854
Patients discharged per 1,000 persons,;;;;;;;;;
total \1;122;116;114;115;118;120;119;117;117
  Male;100;94;92;93;95;98;97;96;95
  Female;143;136;135;137;139;141;141;138;138
Days of care per 1,000 persons, total \1;784;620;560;562;572;578;574;562;558
  Male;694;551;491;490;506;507;505;498;495
  Female;869;686;627;631;635;646;641;624;619
Average stay (days);6,4;5,4;4,9;4,9;4,9;4,8;4,8;4,8;4,8
  Male;6,9;5,8;5,3;5,3;5,3;5,2;5,2;5,2;5,2
  Female;6,1;5,0;4,6;4,6;4,6;4,6;4,5;4,5;4,5
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
