;;Discharges;;;;;
Sex, age, and selected;;;;;;Average;
first-listed diagnosis \1;;Number;;Per 1,000;;stay;
;;(1,000)\2;;persons \3;;(days)\2;
Both sexes;;;;;;;
  Total \3 \4;;34 667;;116,2;;4,8;
Male;;;;;;;
    All ages \4;;13 990;;95,5;;5,2;
  Under 18 years \4;;1 515;;40,2;;4,9;
Injury;;167;;4,4;\5;3,9;
Pneumonia;;101;;2,7;\5;3,3;
Asthma;\5;99;\5;2,6;\5;2,1;
  18-44 years \4;;2 701;;47,7;;5,0;
Injury;;398;;7,0;;4,8;
Serious mental illness ;;;;;;;
 (psychoses) \6;;336;;5,9;;8,2;
Alcohol and drug \7;;186;;3,3;\5;4,4;
Heart disease;;173;;3,1;;3,7;
  45-64 years \4;;4 287;;117,6;;5,1;
Heart disease;;803;;22,0;;3,7;
Injury;;252;;6,9;;6,6;
Cancer, all;;222;;6,1;;6,6;
Serious mental illness ;;;;;;;
 (psychoses) \6;;179;;4,9;;8,8;
  65-74 years \4;;2 241;;258,4;;5,1;
Heart disease;;519;;59,8;;4,3;
Cancer, all;;151;;17,4;;6,7;
Stroke;;105;;12,1;;4,7;
Pneumonia;;101;;11,6;;5,1;
  75-84 years \4;;2 236;;422,0;;5,7;
Heart disease;;496;;93,7;;4,8;
Pneumonia;;141;;26,6;;5,4;
Cancer, all;;114;;21,5;;8,0;
Stroke;;113;;21,4;;4,5;
  85 years and over \4;;1 010;;598,4;;5,4;
Heart disease;;209;;123,9;;4,7;
Pneumonia;;82;;48,7;;5,6;
Injury;;71;;41,9;;5,2;
Female;;;;;;;
All ages, \4;;20 864;;137,5;;4,5;
  Under 18 years \4;;1 389;;38,6;;4,5;
Injury;;82;;2,3;\5;3,9;
Pneumonia;;79;;2,2;;3,5;
Acute bronchitis and bron-;;;;;;;
 chiolitis;\5;69;\5;1,91;\5;2,9;
  18-44 years \4;;7 492;;134,4;;3,2;
Childbirth;;3 980;;71,4;;2,6;
Serious mental illness<ql>;;;;;;;
<nr>\n(psychoses) \6;;370;;6,6;;7,1;
Injury;;176;;3,2;;3,7;
Uterine fibroids;;103;;1,8;;2,4;
  45-64 years \4;;4 399;;114,7;;4,9;
Heart disease;;481;;12,6;;4,2;
Serious mental illness<ql>;;;;;;;
<nr>\n(psychoses) \6;;243;;6,3;;8,9;
Cancer, all;;217;;5,7;;5,8;
Osteoarthritis;;191;;5,0;;3,8;
  65-74 years \4;;2 552;;249,1;;5,3;
Heart disease;;406;;39,7;;4,7;
Osteoarthritis;;169;;16,5;;3,7;
Cancer, all;;160;;15,6;;6,9;
Pneumonia;;112;;10,9;;5,8;
  75-84 years \4;;3 016;;389,3;;5,6;
Heart disease;;570;;73,5;;4,9;
Injury;;222;;28,6;;5,4;
Pneumonia;;140;;18,1;;5,8;
Stroke;;134;;17,2;;4,8;
  85 years and over \4;;2 015;;558,4;;5,7;
Heart disease;;424;;117,4;;4,8;
Injury;;203;;56,3;;5,4;
Pneumonia;;134;;37,2;;5,9;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
