     Sex, year, and race;Rates per 100,000;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;All ages \1;Under 1 year;1 to 4 years;5 to 14 years;15 to 24 years;25 to 34 years;35 to 44 years;45 to 54 years;55 to 64 years;65 to 74 years;75 to 84 years;85 years and over;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
MALE;;;;;;;;;;;;;;;;;;;;;
    1990;476;1 057;77;33;220;256;365;620;1 211;2 462;5 389;11 244;;;;;;;;;
    1995;502;689;81;30;202;284;421;668;1 370;2 605;4 780;7 404;;;;;;;;;
    1996;490;874;73;38;175;260;370;580;1 348;2 641;4 634;7 687;;;;;;;;;
    1997;519;903;52;29;180;245;389;673;1 410;2 847;4 796;7 888;;;;;;;;;
    1998;513;1 028;65;30;166;235;374;664;1 377;2 683;4 471;8 486;;;;;;;;;
    1999;513;840;59;23;184;219;362;683;1 322;2 817;4 653;6 946;;;;;;;;;
    2000;416;700;45;20;136;179;295;520;1 090;2 478;5 351;10 726;;;;;;;;;
    2001;424;720;48;25;143;180;311;537;1 053;2 394;4 775;9 758;;;;;;;;;
    2002;440;897;48;22;145;193;322;539;1 059;2 367;4 748;9 219;;;;;;;;;
    2003;458;912;57;29;153;185;338;584;1 058;2 237;4 644;9 584;;;;;;;;;
    2004;454;1 076;55;24;137;189;321;544;1 067;2 197;4 584;7 924;;;;;;;;;
    2005;482;882;72;23;145;206;337;589;1 124;2 254;4 373;8 419;;;;;;;;;
    2006;477;1 058;58;17;156;194;339;592;1 030;2 147;4 198;7 540;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
FEMALE;;;;;;;;;;;;;;;;;;;;;
1940;955;4 774;267;89;181;274;452;861;1 800;4 222;10 369;22 759;;;;;;;;;
1950;824;2 855;127;49;89;143;290;642;1 405;3 333;8 400;19 195;;;;;;;;;
1960;809;2 321;98;37;61;107;229;527;1 196;2 872;7 633;19 008;;;;;;;;;
1970;808;1 864;75;32;68;102;231;517;1 099;2 580;6 678;15 518;;;;;;;;;
1980;785;1 142;55;24;58;76;159;413;934;2 145;5 440;14 747;;;;;;;;;
1990;812;856;41;19;49;74;138;343;879;1 991;4 883;14 274;;;;;;;;;
2000;855;663;29;15;43;64;143;313;772;1 921;4 815;14 719;;;;;;;;;
2001;850;614;30;15;43;66;148;317;754;1 891;4 761;14 430;;;;;;;;;
2002;848;625;27;15;44;64;149;317;738;1 865;4 758;14 210;;;;;;;;;
2003;843;619;28;14;44;65;149;318;733;1 823;4 676;14 063;;;;;;;;;
2004;815;613;27;14;44;64;144;314;707;1 761;4 522;13 280;;;;;;;;;
2005;825;619;25;14;43;64;144;320;699;1 736;4 520;13 298;;;;;;;;;
2006;806;622;26;13;43;64;142;318;687;1 678;4 388;12 759;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
  White:;;;;;;;;;;;;;;;;;;;;;
    1980;806;963;49;23;56;65;138;373;876;2 067;5 402;14 980;;;;;;;;;
    1985;840;799;40;20;48;59;122;342;869;2 027;5 112;14 745;;;;;;;;;
    1990;847;690;36;18;46;62;117;309;823;1 924;4 839;14 401;;;;;;;;;
    1995;891;572;31;17;44;64;126;294;788;1 925;4 831;14 639;;;;;;;;;
    1996;896;558;29;16;43;63;122;291;780;1 920;4 827;14 643;;;;;;;;;
    1997;898;546;28;16;44;60;121;285;766;1 901;4 786;14 681;;;;;;;;;
    1998;904;564;28;15;41;59;122;278;741;1 913;4 793;14 620;;;;;;;;;
    1999;924;533;27;15;42;58;123;282;739;1 916;4 870;15 054;;;;;;;;;
    2000;912;551;26;14;41;55;126;281;731;1 868;4 785;14 891;;;;;;;;;
    2001;908;512;27;14;41;59;131;287;712;1 840;4 739;14 598;;;;;;;;;
    2002;907;519;25;14;42;57;133;287;699;1 820;4 743;14 383;;;;;;;;;
    2003;902;521;26;13;43;58;133;287;694;1 781;4 672;14 241;;;;;;;;;
    2004;872;514;24;13;42;57;130;285;672;1 724;4 514;13 451;;;;;;;;;
    2005;883;515;23;13;42;58;130;291;664;1 700;4 519;13 498;;;;;;;;;
    2006;864;517;24;12;42;59;129;292;655;1 646;4 395;12 966;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
  Black:;;;;;;;;;;;;;;;;;;;;;
    1980;733;2 124;84;31;71;150;324;768;1 561;3 057;6 212;12 367;;;;;;;;;
    1985;734;1 821;71;29;60;138;277;668;1 533;2 968;6 078;12 703;;;;;;;;;
    1990;748;1 736;68;28;69;160;299;639;1 453;2 866;5 688;13 310;;;;;;;;;
    1995;759;1 342;63;27;70;167;328;619;1 350;2 824;5 840;13 472;;;;;;;;;
    1996;754;1 444;64;26;67;154;316;610;1 312;2 787;5 776;13 399;;;;;;;;;
    1997;743;1 384;51;27;62;135;287;590;1 307;2 740;5 669;13 702;;;;;;;;;
    1998;746;1 390;54;23;58;130;285;582;1 272;2 725;5 814;13 581;;;;;;;;;
