;2002;;;;2007;;
;;;;;;;
;    Number ;;;;    Number ;;
Therapy;(1,000);;Percent;;(1,000);;Percent
    Alternative medical systems:;;;;;;;
Acupuncture;2 136;;1,1;;3 141;;1,4
Homeopathic treatment;3 433;;1,7;;3 909;;1,8
    Biologically based therapies:;;;;;;;
Nonvitamin, nonmineral, natural products \1;38 183;;18,9;;38 797;;17,7
Diet-based therapies \2 \3;7 099;;3,5;;7 893;;3,6
  Vegetarian diet;3 184;;1,6;;3 351;;1,5
  Atkins diet;3 417;;1,7;;2 673;;1,2
  South Beach;(X);;(X);;2 334;;1,1
Megavitamin therapy;5 739;;2,8;;(X);;(X)
    Manipulative and body-based therapies:;;;;;;;
Chiropractic care \4;15 226;;7,5;;(X);;(X)
Chiropractic or Osteopathic manipulation \4;(X);;(X);;18 740;;8,6
Massage;10 052;;5,0;;18 068;;8,3
Movement therapies ;(X);;(X);;3 146;;1,5
  Pilates;(X);;(X);;3 015;;1,4
    Mind-body therapies:;;;;;;;
Meditation;15 336;;7,6;;20 541;;9,4
Guided imagery;4 194;;2,1;;4 866;;2,2
Progressive relaxation;6 185;;3,0;;6 454;;2,9
Deep breathing exercises;23 457;;11,6;;27 794;;12,7
Yoga;10 386;;5,1;;13 172;;6,1
Tai chi;2 565;;1,3;;2 267;;1,0
;;;;;;;
