;;;;;;;;;;;;;
;;2006;;;2007;;;;;;;;
;;;;;;;;;;;;;
;; Uninsured Persons;;;Uninsured Persons;;;;;;;;
Characteristic;;;;;;;;;;;;;
;Total;;Percent;Total;;Percent;;;;;;;
;persons;Number;distribution;persons;Number;distribution;;;;;;;
    Total \1, \2;296 824;46 995;100,0;299 106;45 657;100,0;;;;;;;
Under 18 years;74 101;8 661;18,4;74 403;8 149;17,8;;;;;;;
18 to 24 years;28 405;8 323;17,7;28 398;7 991;17,5;;;;;;;
25 to 34 years;39 868;10 713;22,8;40 146;10 329;22,6;;;;;;;
35 to 44 years;42 762;8 018;17,1;42 132;7 717;16,9;;;;;;;
45 to 64 years;75 652;10 737;22,8;77 237;10 785;23,6;;;;;;;
65 years and over;36 035;541;1,2;36 790;686;1,5;;;;;;;
Male;145 689;25 531;54,3;146 855;24 546;53,8;;;;;;;
Female;151 135;21 464;45,7;152 250;21 111;46,2;;;;;;;
  White alone \3;237 892;35 486;75,5;239 399;34 300;75,1;;;;;;;
White alone or in combination;242 592;36 248;77,1;244 145;34 977;76,6;;;;;;;
  Black alone \3;37 369;7 652;16,3;37 775;7 372;16,1;;;;;;;
Black alone or in combination;39 083;7 921;16,9;39 683;7 624;16,7;;;;;;;
  Asian alone \3;13 194;2 045;4,4;13 268;2 234;4,9;;;;;;;
Asian alone or in combination;14 348;2 160;4,6;14 444;2 321;5,1;;;;;;;
Hispanic \4;44 854;15 296;32,5;46 026;14 770;32,3;;;;;;;
    White alone, not Hispanic;196 252;21 162;45,0;196 768;20 548;45,0;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
