;2006;;;;
;;;;;
;;;;;
Age;Number;Rate;;;
;;;;;
;;;;;
ALL AGES \2;;;;;
    All causes \3;2 426 264;810,4;;;
Diseases of heart;631 636;211,0;;;
Malignant neoplasms;559 888;187,0;;;
Cerebrovascular diseases;137 119;45,8;;;
Chronic lower respiratory diseases;124 583;41,6;;;
Accidents (unintentional injuries);121 599;40,6;;;
Diabetes mellitus;72 449;24,2;;;
Alzheimer's disease;72 432;24,2;;;
Influenza and pneumonia;56 326;18,8;;;
Nephritis, nephrotic syndrome and nephrosis;45 344;15,1;;;
Septicemia;34 234;11,4;;;
;;;;;
1 TO 4 YEARS;;;;;
    All causes \3;4 631;28,4;;;
Accidents (unintentional injuries);1 610;9,9;;;
Congenital malformations, deformations and chromosomal abnormalities;515;3,2;;;
Malignant neoplasms;377;2,3;;;
Assault (homicide);366;2,2;;;
Diseases of heart;161;1,0;;;
Influenza and pneumonia;125;0,8;;;
Septicemia ;88;0,5;;;
Certain conditions originating in the perinatal period;65;0,4;;;
In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior;60;0,4;;;
Cerebrovascular diseases;54;0,3;;;
All other causes (Residual);;;;;
;;;;;
5 TO 14 YEARS;;;;;
    All causes \3;6 149;15,2;;;
Accidents (unintentional injuries);2 258;5,6;;;
Malignant neoplasms;907;2,2;;;
Assault (homicide);390;1,0;;;
Congenital malformations, deformations and chromosomal abnormalities;344;0,9;;;
Diseases of heart;253;0,6;;;
Intentional self-harm (suicide);219;0,5;;;
Chronic lower respiratory diseases;115;0,3;;;
Cerebrovascular diseases;95;0,2;;;
Septicemia;84;0,2;;;
In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior;76;0,2;;;
Septicemia;;;;;
;;;;;
15 TO 24 YEARS;;;;;
    All causes \3;34 887;82,2;;;
Accidents (unintentional injuries);16 229;38,2;;;
Assault (homicide);5 717;13,5;;;
Intentional self-harm (suicide);4 189;9,9;;;
Malignant neoplasms;1 644;3,9;;;
Diseases of heart;1 076;2,5;;;
Congenital malformations, deformations and chromosomal abnormalities;460;1,1;;;
Cerebrovascular diseases;210;0,5;;;
Human immunodeficiency virus (HIV) disease (B20-B24) ;206;0,5;;;
Influenza and pneumonia;184;0,4;;;
Pregnancy, childbirth and the puerperium;179;0,4;;;
Diabetes mellitus;;;;;
;;;;;
25 TO 34 YEARS;;;;;
    All causes \3;42 952;106,3;;;
Accidents (unintentional injuries);14 954;37,0;;;
Intentional self-harm (suicide);4 985;12,3;;;
Assault (homicide);4 725;11,7;;;
Malignant neoplasms;3 656;9,0;;;
Diseases of heart;3 307;8,2;;;
Human immunodeficiency virus (HIV) disease;1 182;2,9;;;
Diabetes mellitus;673;1,7;;;
Cerebrovascular diseases;527;1,3;;;
Congenital malformations, deformations and chromosomal abnormalities;437;1,1;;;
Influenza and pneumonia;335;0,8;;;
;;;;;
35 TO 44 YEARS;;;;;
    All causes \3;83 043;190,2;;;
Accidents ;17 534;40,2;;;
Malignant neoplasms;13 917;31,9;;;
Diseases of heart;12 339;28,3;;;
Intentional self-harm (suicide);6 591;15,1;;;
Human immunodeficiency virus (HIV) disease;4 010;9,2;;;
Assault (homicide);3 020;6,9;;;
Chronic liver disease and cirrhosis ;2 551;5,8;;;
Cerebrovascular diseases;2 221;5,1;;;
Diabetes mellitus;2 094;4,8;;;
Septicemia;870;2,0;;;
;;;;;
45 TO 54 YEARS;;;;;
    All causes \3;185 031;427,5;;;
Malignant neoplasms;50 334;116,3;;;
Diseases of heart;38 095;88,0;;;
Accidents ;19 675;45,5;;;
Chronic liver disease and cirrhosis;7 712;17,8;;;
Intentional self-harm (suicide);7 426;17,2;;;
Cerebrovascular diseases;6 341;14,7;;;
Diabetes mellitus;5 692;13,2;;;
Human immunodeficiency virus (HIV) disease;4 377;10,1;;;
Chronic lower respiratory diseases;3 924;9,1;;;
Viral hepatitis;2 911;6,7;;;
;;;;;
;;;;;
55 TO 64 YEARS;;;;;
    All causes \3;281 401;890,9;;;
Malignant neoplasms  ;101 454;321,2;;;
Diseases of heart ;65 477;207,3;;;
Chronic lower respiratory diseases;12 375;39,2;;;
Accidents (unintentional injuries);11 446;36,2;;;
Diabetes mellitus ;11 432;36,2;;;
Cerebrovascular diseases  ;10 518;33,3;;;
Chronic liver disease and cirrhosis ;7 217;22,8;;;
Intentional self-harm (suicide);4 583;14,5;;;
Nephritis, nephrotic syndrome and nephrosis ;4 368;13,8;;;
Septicemia  ;4 032;12,8;;;
;;;;;
;;;;;
 65 TO 74 YEARS;;;;;
    All causes \3;390 093;2 062,1;;;
Malignant neoplasms;137 554;727,2;;;
Diseases of heart;92 752;490,3;;;
Chronic lower respiratory diseases;28 236;149,3;;;
Cerebrovascular diseases;18 223;96,3;;;
Diabetes mellitus ;15 483;81,8;;;
Accidents (unintentional injuries);8 420;44,5;;;
Nephritis, nephrotic syndrome and nephrosis;7 453;39,4;;;
Septicemia;6 064;32,1;;;
Influenza and pneumonia;6 061;32,0;;;
Chronic liver disease and cirrhosis;4 917;26,0;;;
;;;;;
75 TO 84 YEARS;;;;;
    All causes \3;667 338;5 115,0;;;
Diseases of heart;180 451;1 383,1;;;
Malignant neoplasms;164 889;1 263,8;;;
Chronic lower respiratory diseases;47 406;363,4;;;
Cerebrovascular diseases;43 719;335,1;;;
Alzheimer's disease;22 915;175,6;;;
Diabetes mellitus;21 763;166,8;;;
Influenza and pneumonia;16 668;127,8;;;
Nephritis, nephrotic syndrome and nephrosis;14 536;111,4;;;
Accidents (unintentional injuries);13 708;105,1;;;
Septicemia ;10 745;82,4;;;
;;;;;
85 YEARS AND OVER;;;;;
    All causes \3;701 992;13 253,1;;;
Diseases of heart;237 339;4 480,8;;;
Malignant neoplasms;85 072;1 606,1;;;
Cerebrovascular diseases;55 068;1 039,6;;;
Alzheimer’s disease;44 933;848,3;;;
Chronic lower respiratory diseases;31 203;589,1;;;
Influenza and pneumonia;26 617;502,5;;;
Nephritis, nephrotic syndrome and nephrosis;15 388;290,5;;;
Diabetes mellitus;15 105;285,2;;;
Accidents (unintentional injuries);14 561;274,9;;;
Septicemia;9 392;177,3;;;
;;;;;
;;;;;
;;;;;
;;;;;
