 Characteristics;;;;;;;;;;;;;;;;;;
;1950 \1;1960 \1;1970;1980;1985;1990;1995;1996;1997;1998;1999 ;2000;2001;2002;2003;2004;2005;2006
;;;;;;;;;;;;;;;;;;
All persons;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
  All ages, age adjusted \2;193,9 ;193,9 ;198,6 ;207,9 ;211,3 ;216,0;209,9;206,7;203,4;200,7;200,8;199,6;196,0;193,5;190,1;185,8;183,8;180,7
  All ages, crude \3;139,8 ;149,2 ;162,8 ;183,9 ;194,0 ;203,2;202,2;200,3;197,9;196,3;197,0;196,5;194,4;193,2;191,5;188,6;188,7;187,0
Under 1 year;8,7 ;7,2 ;4,7 ;3,2 ;3,1 ;2,3;1,8;2,3;2,4;2,1;1,8;2,4;1,6;1,8;1,9;1,8;1,8;1,8
1 to 4 years;11,7 ;10,9 ;7,5 ;4,5 ;3,8 ;3,5;3,1;2,7;2,8;2,4;2,7;2,7;2,7;2,6;2,5;2,5;2,3;2,3
5 to 14 years ;6,7 ;6,8 ;6,0 ;4,3 ;3,5 ;3,1;2,7;2,6;2,6;2,5;2,5;2,5;2,5;2,6;2,6;2,5;2,5;2,2
15 to 24 years;8,6 ;8,3 ;8,3 ;6,3 ;5,4 ;4,9;4,5;4,4;4,4;4,5;4,5;4,4;4,3;4,3;4,0;4,1;4,1;3,9
25 to 34 years;20,0 ;19,5 ;16,5 ;13,7 ;13,2 ;12,6;11,6;11,6;11,1;10,8;10,0;9,8;10,1;9,7;9,4;9,1;9,0;9,0
35 to 44 years;62,7 ;59,7 ;59,5 ;48,6 ;45,9 ;43,3;40,1;39,1;38,7;38,0;37,1;36,6;36,8;35,8;35,0;33,4;33,2;31,9
45 to 54 years;175,1 ;177,0 ;182,5 ;180,0 ;170,1 ;158,9;140,4;136,1;132,9;129,8;127,6;127,5;126,5;123,8;122,2;119,0;118,6;116,3
