Industry;2007 NAICS;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Code ;1972;1980;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;
    Health care and social assistance \1;62;;;;;;;;9 296;;;;;11 278;;;;;12 718;13 134;13 556;13 893;14 190;14 536;14 925;15 380;15 819;
Ambulatory health care services \1;621;;;;;;;;2 842;3 028;3 200;3 386;3 579;3 768;3 940;4 093;4 161;4 227;4 320;4 462;4 633;4 786;4 952;5 114;5 286;5 474;5 661;
  Offices of physicians;6211;467;765,8;1 028,0;1 081,0;1 139,0;1 200,0;1 268,0;1 278;1 405;1 463;1 506;1 545;1 540;1 678;1 739;1 806;1 787;1 840;1 911;1 968;2 003;2 048;2 094;2 148;2 202;2 266;
  Offices of dentists;6212;(NA);(NA);439,0;458,0;470,0;484,0;500,0;513;528;541;556;574;592;611;629;646;667;688;705;725;744;760;774;784;808;819;
  Offices of other health practitioners;6213;45;(NA);165,0;182,0;198,0;221,0;248,0;276;304;327;353;378;395;417;435;448;439;438;457;486;503;527;549;571;600;629;
  Medical and diagnostic laboratories;6215;70;(NA);119,0;127,0;135,0;146,0;158,0;129;173;180;187;189;146;194;197;199;156;162;170;175;182;190;198;202;211;219;
  Home health care services;6216;(NA);(NA);(NA);179,0;196,0;216,0;244,0;288;345;398;469;559;622;675;710;666;630;633;639;680;733;777;821;866;914;958;
$del;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hospitals \1;622;1 980;(NA);2 997,0;3 037,0;3 142,0;3 294,0;3 439,0;3 513;3 655;3 750;3 779;3 763;3 734;3 812;3 860;3 930;3 936;3 954;4 051;4 160;4 245;4 285;4 345;4 423;4 515;4 641;
  General medical and surgical hospitals;6221;(NA);2 558,3;2 811,0;2 841,0;2 924,0;3 047,0;3 174,0;3 305;3 359;3 449;3 475;3 459;3 520;3 514;3 561;3 631;3 727;3 745;3 833;3 930;4 005;4 042;4 096;4 167;4 242;4 351;
  Psychiatric and substance abuse hospitals;6222;(NA);(NA);59,0;67,0;78,0;92,0;99,0;113;106;102;99;97;101;87;83;79;88;86;87;90;92;92;93;98;99;102;
  Other hospitals;6223;(NA);(NA);126,0;130,0;140,0;155,0;165,0;95;190;199;205;207;112;210;217;221;121;123;132;140;148;151;156;162;174;189;
$del;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nursing and residential care facilities \1 ;623;591;(NA);1 198,0;1 245,0;1 283,0;1 311,0;1 356,0;1 856;1 493;1 533;1 585;1 649;2 308;1 730;1 756;1 772;2 529;2 583;2 676;2 743;2 786;2 818;2 855;2 893;2 958;3 008;
  Nursing care facilities;6231;(NA);(NA);791,0;833,0;869,0;907,0;936,0;1 170;1 067;1 094;1 147;1 221;1 413;1 295;1 335;1 355;1 501;1 514;1 547;1 573;1 580;1 577;1 577;1 581;1 603;1 614;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
