;;;;;
;;;;;
Age and characteristic;2000;2004;2005;2006;2007
;;;;;
  Total \1 \2;320 177;404 438;424 871;446 098;468 578
AGE AS OF END OF YEAR;;;;;
Less than 13 years old;2 843;1 722;1 428;1 142;889
13 and 14 years old;513;785;770;725;659
15 to 24 years old;4 944;6 638;7 300;7 817;8 507
25 to 34 years old;54 473;45 138;43 442;42 784;43 014
35 to 44 years old;143 920;156 570;156 271;154 096;150 059
45 to 54 years old;85 445;130 515;143 090;156 328;170 008
55 to 64 years old;22 089;41 381;48 544;56 504;65 494
  65 years old and over;5 950;10 450;12 232;14 386;17 005
RACE/ETHNICITY;;;;;
White, not Hispanic;119 420;141 348;146 995;153 118;159 338
  Black, not Hispanic;132 090;170 224;179 369;188 740;199 124
  Asian/Pacific Islander;2 612;3 372;3 679;4 006;4 398
  American Indian/Alaska Native;1 099;1 449;1 543;1 612;1 700
Hispanic \3;63 894;72 662;77 016;81 635;86 244
TRANSMISSION CATEGORY;;;;;
MALE ADULT/ADOLESCENT;;;;;
Males 13 years old and over, total;248 726;301 547;316 029;331 269;347 284
  Male-to-male sexual contact;142 069;180 944;191 228;202 134;213 510
  Injection drug use;57 778;60 165;61 164;62 283;63 636
  Male-to-male sexual contact and injection drug use;22 603;26 833;27 487;28 081;28 691
  Heterosexual contact;22 568;30 537;32 979;35 489;38 067
Other \4;3 708;3 068;3 172;3 282;3 380
FEMALE ADULT/ADOLESCENT;;;;;
Females 13 years old and over, total;67 601;87 835;93 214;98 695;104 560
  Injection drug use;26 656;31 192;31 980;32 717;33 531
  Heterosexual contact;39 121;54 792;59 277;63 910;68 798
Other \4;1 824;1 851;1 958;2 068;2 231
CHILD (LESS THAN 13 YEARS OLD<c> AT DIAGNOSIS);;;;;
Total;3 848;3 818;3 835;3 820;3 792
  Perinatal;3 706;3 615;3 631;3 618;3 592
  Other \5;142;202;204;203;200
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
