;;;;;;;;;;;;;;;;;;
Characteristics;1950 \1;1960 \1;1970;1980;1985;1990;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
  All ages, age adjusted \2;586,8 ;559,0 ;492,7 ;412,1;375,0;321,8;293,4;285,7;277,7;271,3;266,5;257,6;247,8;240,8;232,3;217,0;211,1;200,2
  All ages, crude \3;355,5 ;369,0 ;362,0 ;336,0;324,1;289,5;277,0;272,2;266,6;262,8;259,9;252,6;245,8;241,7;235,6;222,2;220,0;211,0
;;;;;;;;;;;;;;;;;;
Under 1 year;3,5 ;6,6 ;13,1 ;22,8;25,0;20,1;17,4;16,7;16,6;16,2;13,8;13,0;11,9;12,4;11,0;10,3;8,7;8,4
1 to 4 years;1,3 ;1,3 ;1,7 ;2,6;2,2;1,9;1,6;1,4;1,4;1,4;1,2;1,2;1,5;1,1;1,2;1,2;0,9;1,0
5 to 14 years;2,1 ;1,3 ;0,8 ;0,9;1,0;0,9;0,8;0,8;0,8;0,8;0,7;0,7;0,7;0,6;0,6;0,6;0,6;0,6
15 to 24 years ;6,8 ;4,0 ;3,0 ;2,9;2,8;2,5;2,8;2,6;2,9;2,8;2,8;2,6;2,5;2,5;2,7;2,5;2,7;2,5
25 to 34 years ;19,4 ;15,6 ;11,4 ;8,3;8,3;7,6;8,2;8,0;7,9;7,9;7,6;7,4;8,0;7,9;8,2;7,9;8,1;8,2
35 to 44 years;86,4 ;74,6 ;66,7 ;44,6;38,1;31,4;31,8;30,3;29,9;30,4;30,2;29,2;29,6;30,5;30,7;29,3;28,9;28,3
45 to 54 years;308,6 ;271,8 ;238,4 ;180,2;153,8;120,5;109,6;106,8;103,2;99,5;95,7;94,2;92,9;93,7;92,5;90,2;89,7;88,0
55 to 64 years ;808,1 ;737,9 ;652,3 ;494,1;443,0;367,3;320,1;311,9;298,5;282,8;269,9;261,2;246,9;241,5;233,2;218,8;214,8;207,3
65 to 74 years;1 839,8 ;1 740,5 ;1 558,2 ;1 218,6;1 089,8;894,3;795,4;769,8;746,2;728,6;701,7;665,6;635,1;615,9;585,0;541,6;518,9;490,3
75 to 84 years ;4 310,1 ;4 089,4 ;3 683,8 ;2 993,1;2 693,1;2 295,7;2 050,5;1 993,8;1 926,1;1 887,2;1 849,9;1 780,3;1 725,7;1 677,2;1 611,1;1 506,3;1 460,8;1 383,1
85 years and over;9 150,6 ;9 317,8 ;7 891,3 ;7 777,1;7 384,1;6 739,9;6 391,5;6 259,0;6 144,7;6 041,1;6 063,0;5 926,1;5 664,2;5 446,8;5 278,4;4 895,9;4 778,4;4 480,8
;;;;;;;;;;;;;;;;;;
MALE;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
  All ages, age adjusted \2;697,0 ;687,6 ;634,0 ;538,9;488,0;412,4;371,0;360,7;349,5;339,3;331,0;320,0;305,4;297,4;286,6;267,9;260,9;248,5
White;700,2 ;694,5 ;640,2 ;539,6;487,3;409,2;367,0;357,5;346,1;335,3;327,1;316,7;301,8;294,1;282,9;264,6;258,0;245,2
Black;639,4 ;615,2 ;607,3 ;561,4;533,9;485,4;451,3;431,3;419,5;416,1;407,2;392,5;384,5;371,0;364,3;342,1;329,8;320,6
American Indian, Alaska Native;(NA);(NA);(NA);320,5;280,5;264,1;256,4;262,2;272,1;252,5;245,8;222,2;200,7;201,2;203,2;182,7;173,2;170,2
Asian, Pacific Islander;(NA);(NA);(NA);286,9;258,9;220,7;214,5;209,6;202,4;201,1;198,9;185,5;169,8;169,8;158,3;146,5;141,1;136,3
Hispanic origin \4;(NA);(NA);(NA);(NA);296,6;270,0;260,8;260,2;253,5;247,7;249,2;238,2;232,6;219,8;206,8;193,9;192,4;175,2
Non-Hispanic, White \4;(NA);(NA);(NA);(NA);480,4;413,6;369,1;359,7;349,3;338,5;330,0;319,9;304,8;297,7;286,9;268,7;262,2;250,0
;;;;;;;;;;;;;;;;;;
  All ages, crude \3;423,4 ;439,5 ;422,5 ;368,6;344,1;297,6;278,5;273,2;267,2;261,9;257,0;249,8;242,5;240,7;235,0;222,8;221,1;214,0
;;;;;;;;;;;;;;;;;;
Under 1 year;4,0 ;7,8 ;15,1 ;25,5;27,8;21,9;17,7;17,5;18,2;16,2;13,9;13,3;11,8;12,9;12,1;10,9;9,4;8,8
1 to 14 years ;1,4 ;1,4 ;1,9 ;2,8;2,2;1,9;1,7;1,4;1,5;1,4;1,3;1,4;1,5;1,1;1,1;1,1;1,0;1,1
5 to 14 years;2,0 ;1,4 ;0,9 ;1,0;0,9;0,9;0,8;0,9;0,9;0,9;0,8;0,8;0,7;0,7;0,7;0,6;0,6;0,7
15 to 24 years ;6,8 ;4,2 ;3,7 ;3,7;3,5;3,1;3,5;3,3;3,5;3,5;3,4;3,2;3,2;3,3;3,4;3,2;3,6;3,3
25 to 34 years ;22,9 ;20,1 ;15,2 ;11,4;11,6;10,3;11,0;10,6;10,3;10,1;9,8;9,6;10,3;10,5;10,5;10,5;10,8;11,2
35 to 44 years;118,4 ;112,7 ;103,2 ;68,7;58,6;48,1;46,9;44,2;43,6;43,7;43,0;41,4;41,7;43,1;42,8;40,9;40,7;39,5
45 to 54 years;440,5 ;420,4 ;376,4 ;282,6;237,8;183,0;166,1;159,5;155,0;148,9;142,0;140,2;136,6;138,4;136,2;132,3;131,5;128,9
