Activity;1980;;1990;;2000;;2007;
;Total ;Office-based;Total ;Office-based;Total /1;Office-based;Total ;Office-based
    Doctors of medicine, total;467,7;272,0;615,4;361,0;813,8;490,4;941,3;562,9
Place of medical education:<ql>;;;;;;;;
U.S. medical graduates;370,0;226,2;483,7;286,2;616,8;376,5;697,8;424,0
International medical graduates \2;97,7;45,8;131,8;74,8;197,0;113,9;243,5;138,9
Sex: Male;413,4;251,4;511,2;311,7;618,2;382,3;674,3;407,1
"<in;1.8p>Female";54,3;20,6;104,2;49,2;195,5;108,1;267,0;155,8
Allergy/immunology;1,5;1,4;3,4;2,5;4,0;3,1;4,3;3,3
Anesthesiology ;16,0;11,3;26,0;17,8;35,7;27,6;41,7;31,6
Cardiovascular diseases ;9,8;6,7;15,9;10,7;21,0;16,3;22,6;17,5
Child psychiatry;3,3;2,0;4,3;2,6;6,2;4,3;7,3;5,3
Dermatology ;5,7;4,4;7,6;6,0;9,7;8,0;10,9;9,0
Diagnostic radiology;7,0;4,2;15,4;9,8;21,1;14,6;24,9;17,3
Emergency medicine;5,7;3,4;14,2;8,4;23,1;14,5;30,8;20,0
Family practice;27,5;18,4;47,6;37,5;71,6;54,2;84,2;67,3
Gastroenterology ;4,0;2,7;7,5;5,2;10,6;8,5;12,5;10,0
General practice;32,5;29,6;22,8;20,5;15,2;13,0;10,3;8,7
General surgery ;34,0;22,4;38,4;24,5;36,7;24,5;37,7;25,6
Internal medicine ;71,5;40,6;98,3;58,0;134,5;89,7;158,0;108,6
Neurological surgery;3,3;2,5;4,4;3,1;5,0;3,7;5,4;4,0
Neurology ;5,7;3,3;9,2;5,6;12,3;8,6;14,8;10,5
Obstetrics and gynecology ;26,3;19,5;33,7;25,5;40,2;31,7;42,6;34,4
Ophthalmology ;13,0;10,6;16,1;13,1;18,1;15,6;18,2;15,9
Orthopedic surgery ;14,0;10,7;19,1;14,2;22,3;17,4;24,5;19,3
Otolaryngology ;6,6;5,3;8,1;6,4;9,4;7,6;10,1;8,2
Pathology;13,6;6,1;16,6;7,5;18,8;10,6;19,8;11,6
Pediatrics ;29,5;18,2;41,9;27,1;63,9;43,2;76,3;53,3
Physical med./rehab.;2,1;1,0;4,1;2,2;6,5;4,3;8,3;5,9
Plastic surgery ;3,0;2,4;4,6;3,8;6,2;5,3;7,2;6,1
Psychiatry ;27,5;16,0;35,2;20,1;39,5;25,0;41,6;27,5
Pulmonary diseases ;3,7;2,0;6,1;3,7;8,7;5,9;10,5;7,5
Radiology;11,7;7,8;8,5;6,1;8,7;6,7;9,0;6,9
Urological surgery ;7,7;6,2;9,4;7,4;10,3;8,5;10,5;8,8
Unspecified;12,3;5,0;8,1;1,6;8,3;3,8;7,9;3,9
Not classified;20,6;(X);12,7;(X);45,1;(X);52,7;(X)
Other categories \3;32,1;(X);55,4;(X);75,2;(X);112,0;(X)
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
