;;;;;;;;;;;
Characteristics;1990;1995;2000;2001;2002;2003;2004;2005;2006;2007;
;;;;;;;;;;preliminary;
;;;;;;;;;;;
    Percent of births to teenage mothers ;12,8;13,1;11,8;11,3;10,8;10,3;10,3;10,2;10,4;10,5;
White;10,9;11,5;10,6;10,2;9,8;9,4;9,3;9,3;9,4;(NA);
Black;23,1;23,1;19,7;18,9;18,0;17,3;17,1;16,9;17,0;(NA);
American Indian, Eskimo, Aleut;19,5;21,4;19,7;19,3;18,5;18,2;17,9;17,7;17,6;18,4;
Asian or Pacific Islander ;5,7;5,6;4,5;4,3;3,8;3,5;3,4;3,3;3,3;3,2;
Hispanic origin \1;16,8;17,9;16,2;15,6;14,9;14,3;14,3;14,1;14,3;14,2;
  Mexican;17,7;18,8;17,0;16,5;15,9;15,3;15,3;14,9;15,0;(NA);
  Puerto Rican;21,7;23,5;20,0;19,2;17,8;17,9;17,6;17,4;17,7;(NA);
  Cuban;7,7;7,7;7,5;7,5;8,1;7,9;7,8;7,7;8,0;(NA);
  Central and South American;9,0;10,6;9,9;9,4;8,5;8,3;8,4;8,6;8,9;(NA);
  Other and unknown Hispanic;(NA);20,1;18,8;17,3;16,7;15,9;16,2;17,1;16,9;(NA);
Non-Hispanic ;      (NA);      (NA);10,7;10,1;9,6;9,1;9,1;8,9;9,1;(NA);
  White;      (NA);(NA);8,7;8,2;7,9;7,5;7,4;7,3;7,4;7,5;
  Black;      (NA);(NA);19,8;18,9;18,1;17,4;17,3;17,0;17,2;17,3;
;;;;;;;;;;;
;;;;;;;;;;;
    Percent births to unmarried mothers;26,6;32,2;33,2;33,5;34,0;34,6;35,8;36,9;38,5;39,7;
White;16,9;25,3;27,1;27,7;28,5;29,4;30,5;31,7;33,3;(NA);
Black;66,7;69,9;68,5;68,4;68,2;68,2;68,8;69,3;70,2;(NA);
American Indian, Eskimo, Aleut;53,6;57,2;58,4;59,7;59,7;61,3;62,3;63,5;64,6;65,2;
Asian or Pacific Islander ;13,2;16,3;14,8;14,9;14,9;15,0;15,5;16,2;16,5;16,9;
Hispanic origin \1;36,7;40,8;42,7;42,5;43,5;45,0;46,4;48,0;49,9;51,3;
  Mexican;33,3;38,1;40,7;40,8;42,1;43,7;45,2;46,7;48,6;(NA);
  Puerto Rican;55,9;60,0;59,6;58,9;59,1;59,8;61,0;61,7;62,4;(NA);
  Cuban;18,2;23,8;27,3;27,2;29,8;31,4;33,2;36,4;39,4;(NA);
  Central and South American;41,2;44,1;44,7;44,3;44,8;46,0;47,6;49,2;51,5;(NA);
  Other and unknown Hispanic;(NA);44,0;46,2;44,2;44,4;46,7;46,6;48,6;49,2;(NA);
Non-Hispanic ;(NA);(NA);30,8;31,1;31,3;31,6;32,5;33,4;34,8;(NA);
  White;(NA);(NA);22,1;22,5;23,0;23,6;24,5;25,3;26,6;27,8;
  Black;(NA);(NA);68,7;68,6;68,4;68,5;69,3;69,9;70,7;71,6;
;;;;;;;;;;;
    Percent of births with low birth weight \2;7,0;7,3;7,6;7,7;7,8;7,9;8,1;8,2;8,3;8,2;
White;5,7;6,2;6,5;6,7;6,8;6,9;7,1;7,2;7,2;(NA);
Black;13,3;13,1;13,0;13,0;13,3;13,4;13,4;13,6;13,6;(NA);
American Indian, Eskimo, Aleut;6,1;6,6;6,8;7,3;7,2;7,4;7,5;7,4;7,5;7,5;
Asian or Pacific Islander ;(NA);6,9;7,3;7,5;7,8;7,8;7,9;8,0;8,1;8,1;
Hispanic origin \1;6,1;6,3;6,4;6,5;6,5;6,7;6,8;6,9;7,0;6,9;
  Mexican;5,5;5,8;6,0;6,1;6,2;6,3;6,4;6,5;6,6;(NA);
  Puerto Rican;9,0;9,4;9,3;9,3;9,7;10,0;9,8;9,9;10,1;(NA);
  Cuban;5,7;6,5;6,5;6,5;6,5;7,0;7,7;7,6;7,1;(NA);
  Central and South American;5,8;6,2;6,3;6,5;6,5;6,7;6,7;6,8;6,8;(NA);
  Other and unknown Hispanic;(NA);7,5;7,8;8,0;7,9;8,0;7,8;8,3;8,5;(NA);
Non-Hispanic \1;(NA);(NA);7,9;8,0;8,2;8,3;8,5;8,6;8,7;(NA);
  White;(NA);(NA);6,6;6,8;6,9;7,0;7,2;7,3;7,3;7,2;
  Black;(NA);(NA);13,1;13,1;13,4;13,6;13,7;14,0;14,0;13,8;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
